# Captured 2020-06-21 11:16:28.481737 by unknown user
# Built at revision 7b9a516 (dirty)
time(sec)  pc_setpoint  pressure  pa_fast_avg  pa_slow_avg
6.410  5.000  5.110  13.107  37.661
6.420  5.000  5.097  13.107  37.661
6.430  5.000  5.091  13.107  37.661
6.440  5.000  5.050  13.107  37.661
6.450  5.000  5.124  13.107  37.661
6.460  5.000  5.035  13.107  37.661
6.470  5.000  5.102  13.107  37.661
6.480  5.000  5.038  13.107  37.661
6.490  5.000  5.005  13.107  37.661
6.500  5.000  4.999  13.107  37.661
6.510  5.000  5.049  13.107  37.661
6.520  5.000  4.972  13.107  37.661
6.530  5.000  4.928  13.107  37.661
6.540  5.000  4.903  13.107  37.661
6.550  5.000  4.870  13.107  37.661
6.560  5.000  4.913  13.107  37.661
6.570  5.000  4.773  13.107  37.661
6.580  5.000  4.861  13.107  37.661
6.590  5.000  4.780  13.107  37.661
6.600  5.000  4.844  13.107  37.661
6.610  5.000  4.753  13.107  37.661
6.620  5.000  4.817  13.107  37.661
6.630  5.000  4.813  13.107  37.661
6.640  5.000  4.845  13.107  37.661
6.650  5.000  4.850  13.107  37.661
6.660  5.000  4.871  10.866  37.303
6.670  5.000  4.855  11.286  37.060
6.680  5.000  4.745  10.998  36.788
6.690  5.000  4.837  11.016  36.531
6.700  5.000  4.892  13.616  36.406
6.710  5.000  4.909  17.034  36.349
6.720  5.000  4.940  19.392  36.273
6.730  5.000  4.946  23.260  36.298
6.740  5.000  4.975  27.188  36.364
