# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
5.150  2.641  1043.368  1068.091  5.000
5.160  3.096  1113.459  1138.182  5.000
5.170  2.028  1202.647  1227.371  5.000
5.180  2.825  1203.602  1228.326  5.000
5.190  2.357  1180.994  1205.717  5.000
5.200  3.095  1132.248  1156.971  5.000
5.210  2.847  1138.223  1162.946  5.000
5.220  3.397  1133.901  1158.625  5.000
5.230  2.210  1300.990  1325.713  5.000
5.240  1.995  1392.371  1417.094  5.000
5.250  3.184  1146.246  1170.969  5.000
5.260  2.711  1137.286  1162.009  5.000
5.270  2.510  1073.934  1098.658  5.000
5.280  3.082  1120.086  1144.810  5.000
5.290  3.002  1199.560  1224.284  5.000
5.300  3.136  1115.294  1140.018  5.000
5.310  1.842  1283.066  1307.789  5.000
5.320  3.034  1133.510  1158.234  5.000
5.330  3.273  1203.527  1228.250  5.000
5.340  2.618  1084.899  1109.622  5.000
5.350  3.467  1127.539  1152.262  5.000
5.360  1.659  1204.827  1229.550  5.000
5.370  3.533  1142.198  1166.922  5.000
5.380  3.240  1042.175  1066.898  5.000
5.390  2.835  1104.229  1128.953  5.000
5.400  2.583  1074.248  1098.971  5.000
5.410  2.124  1081.749  1106.472  5.000
5.420  3.533  1077.241  1101.965  5.000
5.430  2.633  1100.318  1125.042  5.000
5.440  2.506  1141.432  1166.156  5.000
5.450  2.609  1209.968  1234.691  5.000
5.460  2.410  1117.773  1142.496  5.000
5.470  2.941  1081.552  1106.276  5.000
5.480  2.735  1117.439  1142.162  5.000
5.490  3.167  1055.158  1079.881  5.000
5.500  2.311  1101.005  1125.728  5.000
5.510  2.948  1114.185  1138.909  5.000
5.520  3.155  1170.362  1195.085  5.000
5.530  2.524  1132.132  1156.855  5.000
5.540  3.675  1062.285  1087.008  5.000
5.550  3.464  1132.675  1157.399  5.000
5.560  3.418  1110.278  1135.002  5.000
5.570  2.892  1182.974  1207.697  5.000
5.580  2.016  1239.514  1264.238  5.000
5.590  2.889  1046.573  1071.296  5.000
5.600  3.571  931.290  956.013  5.000
5.610  1.995  1253.503  1278.226  5.000
5.620  2.917  1078.339  1103.062  5.000
5.630  2.016  1311.889  1336.612  5.000
5.640  2.928  1198.096  1222.820  5.000
5.650  3.207  1119.785  1144.508  5.000
5.660  3.428  1073.865  1098.588  5.000
5.670  3.260  1102.425  1127.149  5.000
5.680  2.316  1077.847  1102.570  5.000
5.690  2.776  1149.530  1174.253  5.000
5.700  3.323  1088.617  1113.341  5.000
5.710  2.093  1192.687  1217.410  5.000
5.720  2.285  1195.654  1220.378  5.000
5.730  3.039  1205.099  1229.823  5.000
5.740  2.883  1181.251  1205.975  5.000
5.750  2.832  1086.634  1111.358  5.000
5.760  3.284  1059.991  1084.714  5.000
5.770  2.757  1032.374  1057.098  5.000
5.780  1.807  1143.832  1168.556  5.000
5.790  2.306  1193.198  1217.921  5.000
5.800  3.240  1109.036  1133.759  5.000
5.810  2.509  992.497  1017.220  5.000
5.820  3.219  1035.871  1060.594  5.000
5.830  3.288  1044.260  1068.983  5.000
5.840  2.786  1103.804  1128.527  5.000
5.850  1.977  1148.659  1173.383  5.000
5.860  2.087  1146.980  1171.703  5.000
5.870  2.347  1134.495  1159.219  5.000
5.880  2.426  1290.392  1315.116  5.000
5.890  3.427  1077.416  1102.140  5.000
5.900  2.947  1161.543  1186.267  5.000
5.910  2.164  1217.547  1242.270  5.000
5.920  2.753  1145.021  1169.745  5.000
5.930  2.725  1184.502  1209.226  5.000
5.940  2.433  1148.854  1173.578  5.000
5.950  3.212  1155.091  1179.814  5.000
5.960  3.547  1140.855  1165.579  5.000
5.970  2.857  1075.864  1100.587  5.000
5.980  2.958  1033.008  1057.732  5.000
5.990  2.260  1173.694  1198.417  5.000
6.000  2.594  1148.516  1173.239  5.000
6.010  2.958  1189.317  1214.040  5.000
6.020  2.277  1109.720  1134.443  5.000
6.030  2.539  1284.867  1309.591  5.000
6.040  3.532  1012.209  1036.933  5.000
6.050  3.292  1074.413  1099.136  5.000
6.060  2.927  1122.700  1147.423  5.000
6.070  3.386  1098.718  1123.441  5.000
6.080  1.566  1348.128  1372.851  5.000
6.090  2.577  1139.534  1164.257  5.000
